=========================== Final Schedule ===========================
Vessel : 0
 16 | 148.0 | 5.0 | 153.0
 20 | 153.0 | 3.0 | 156.0
 22 | 156.0 | 3.0 | 159.0
Vessel : 13
 0 | 30.0 | 4.0 | 34.0
 3 | 34.0 | 9.0 | 43.0
 5 | 43.0 | 13.0 | 56.0
 7 | 56.0 | 7.0 | 63.0
 11 | 63.0 | 12.0 | 75.0
 13 | 75.0 | 5.0 | 80.0
 14 | 80.0 | 3.0 | 83.0
 16 | 83.0 | 3.0 | 86.0
 19 | 86.0 | 3.0 | 89.0
 21 | 89.0 | 5.0 | 94.0
Vessel : 14
 1 | 41.0 | 5.0 | 46.0
 2 | 46.0 | 5.0 | 51.0
 4 | 51.0 | 5.0 | 56.0
 6 | 56.0 | 4.0 | 60.0
 9 | 60.0 | 10.0 | 70.0
 13 | 70.0 | 5.0 | 75.0
 14 | 75.0 | 3.0 | 78.0
 15 | 78.0 | 5.0 | 83.0
 17 | 83.0 | 3.0 | 86.0
 21 | 86.0 | 3.0 | 89.0
Vessel : 15
 0 | 39.0 | 5.0 | 44.0
 2 | 44.0 | 12.0 | 56.0
 4 | 56.0 | 12.0 | 68.0
 6 | 68.0 | 8.0 | 76.0
 8 | 76.0 | 6.0 | 82.0
 12 | 82.0 | 3.0 | 85.0
 14 | 85.0 | 5.0 | 90.0
 15 | 90.0 | 3.0 | 93.0
 17 | 93.0 | 4.0 | 97.0
 21 | 97.0 | 3.0 | 100.0
Vessel : 16
 1 | 46.0 | 5.0 | 51.0
 2 | 51.0 | 5.0 | 56.0
 4 | 56.0 | 4.0 | 60.0
 6 | 60.0 | 4.0 | 64.0
 8 | 64.0 | 4.0 | 68.0
 12 | 68.0 | 3.0 | 71.0
 14 | 71.0 | 4.0 | 75.0
 16 | 75.0 | 3.0 | 78.0
 20 | 78.0 | 3.0 | 81.0
 22 | 81.0 | 4.0 | 85.0
Vessel : 17
 1 | 139.0 | 5.0 | 144.0
 2 | 144.0 | 4.0 | 148.0
 4 | 148.0 | 4.0 | 152.0
 6 | 152.0 | 8.0 | 160.0
 8 | 160.0 | 6.0 | 166.0
 12 | 166.0 | 5.0 | 171.0
 14 | 171.0 | 5.0 | 176.0
 15 | 176.0 | 4.0 | 180.0
 18 | 180.0 | 3.0 | 183.0
 22 | 183.0 | 5.0 | 188.0
Vessel : 18
 1 | 157.0 | 4.0 | 161.0
 2 | 161.0 | 3.0 | 164.0
 4 | 164.0 | 5.0 | 169.0
 6 | 169.0 | 4.0 | 173.0
 8 | 173.0 | 5.0 | 178.0
 12 | 178.0 | 4.0 | 182.0
 14 | 182.0 | 5.0 | 187.0
 15 | 187.0 | 3.0 | 190.0
 17 | 190.0 | 4.0 | 194.0
 21 | 194.0 | 3.0 | 197.0
Vessel : 19
 1 | 200.0 | 5.0 | 205.0
 3 | 205.0 | 3.0 | 208.0
 5 | 208.0 | 3.0 | 211.0
 6 | 211.0 | 3.0 | 214.0
 8 | 214.0 | 9.0 | 223.0
 12 | 223.0 | 4.0 | 227.0
 14 | 227.0 | 5.0 | 232.0
 16 | 232.0 | 4.0 | 236.0
 20 | 236.0 | 3.0 | 239.0
 22 | 239.0 | 3.0 | 242.0
Vessel : 20
 1 | 37.0 | 4.0 | 41.0
 2 | 41.0 | 5.0 | 46.0
 4 | 46.0 | 4.0 | 50.0
 6 | 50.0 | 4.0 | 54.0
 8 | 54.0 | 5.0 | 59.0
 12 | 59.0 | 4.0 | 63.0
 14 | 63.0 | 5.0 | 68.0
 16 | 68.0 | 5.0 | 73.0
